1710194701,0,2,3.9,5,15,0.166666667,1,4,2,9145,122330,8.193207697,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1710194901,0,2,4,4,8,0.952380952,1,4,1,42270,60000,12.87329113,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1710194902,0.166666667,2,3.7,6,15,0.203389831,5,4,4,2040,104759,6.366100503,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1710210901,0,1,3.3,1,12.5,0.25,5,2,2,3873,98281,3.674402539,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1710222701,0.076923077,1,4,5,9,0.333333333,1,5,4,3530,69409,3.578994524,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1710225201,0.5,1,4.2,2,30,1,2,2,3,1894,81834,0.5853317,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1710226901,0,2,3.95,4,10.5,0.214285714,1,2,4,760.5,104028,2.276300168,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1710227402,0,3,3.55,2,10,1,5,2,3,8381,49291,2.723414984,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1710228901,0,2,4.15,2,10,0.333333333,5,2,2,3530,26413,1.348233011,0,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1710228904,0,1.5,4.35,2,10,0.5,5,2,2,3530,26413,1.348233011,0,0,0.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1710238701,0,2,4.35,1,5,0.25,5,3,3,387.5,134107,0.573050829,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1710239801,0.1,1,3.65,4,43,0.434782609,5,5,4,3530,40938,6.457277199,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1710240801,0.333333333,1.5,2.8,3,12.5,0.375,5,2,4,41682,92347,2.670051828,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1710240802,0.4,1,3.2,5,9,0.243902439,5,2,4,9791,82892,1.567715115,0,0,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1710244901,0.25,2,4.1,3,42.5,2,3,2,2,4176,92752,9.348503171,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1710050101,0,2,4.1,5,6,0.6,2,2,3,10073,94039,0.908444374,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1710005201,0,1,4.1,1,30,0.666666667,3,3,3,25133.5,94039,0.968105941,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1710005901,0.1875,2,3.8,6,6,0.941176471,2,2,2,7778,69409,0.212344518,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1710013701,0.5,1.5,3.05,2,10,1,2,4,2,62565,82892,0.641201031,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1710166704,0.25,2,4.1,3,10,1.333333333,1,4,2,5083,101117,9.837409935,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1710169201,0,2,3.35,2,15,0.666666667,5,2,4,1592,55143,2.832482301,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1710169202,0,1,3.9,2,15,1,5,2,4,1592,55143,2.832482301,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1710169702,0,2,2.5,2,7.5,1,2,4,2,12152,86810,3.451187977,0,2,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1710174501,0,2,2.9,2,15,1.333333333,5,3,2,3160.5,52941,7.747571352,0,1,0.666666667,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1710174502,0,2,2.9,1,15,0.666666667,5,1,4,3212.5,64944,7.794641402,0,1,0.666666667,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1710185201,0.5,1.5,2.95,2,5,0.333333333,5,2,3,4017,110956,0.253156292,0,2,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1710185202,0,2,4.1,2,5,0.4,5,2,3,4017,110956,0.253156292,0,2,0.25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1710185501,1,1,2.05,2,5,1,2,4,3,62565,82892,5.102374541,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1710094201,0,2,3.75,5,5.5,0.258064516,2,2,2,32836.75,61915,0.577738272,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1710095701,0,3,3.8,4,10,0.833333333,2,4,3,4470,67860,0.162970328,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1710095702,0,2,3.8,2,10,0.6,2,2,3,4470,67860,0.048348443,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1710096402,0.142857143,2,3.9,6,15,0.777777778,2,4,2,6909,129235,3.276651407,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1710098601,0.166666667,2,4,4,8,0.352941176,5,2,3,3626,95764,0.464984784,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
