     0.000     3.000     1.000     0.000     2.000     3.900     5.000     1.500     0.167     9.145   122.330     8.193     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     0.000     3.000     0.000     0.000     2.000     4.000     4.000     0.800     0.952    42.270    60.000    12.873     0.000     0.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     3.000     3.000     0.167     2.000     3.700     6.000     1.500     0.203     2.040   104.759     6.366     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     1.000     1.000     0.000     1.000     3.300     1.000     1.250     0.250     3.873    98.281     3.674     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000
     0.000     4.000     3.000     0.077     1.000     4.000     5.000     0.900     0.333     3.530    69.409     3.579     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     1.000     1.000     2.000     0.500     1.000     4.200     2.000     3.000     1.000     1.894    81.834     0.585     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000
     0.000     1.000     3.000     0.000     2.000     3.950     4.000     1.050     0.214     0.760   104.028     2.276     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     1.000     2.000     0.000     3.000     3.550     2.000     1.000     1.000     8.381    49.291     2.723     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     1.000     1.000     0.000     2.000     4.150     2.000     1.000     0.333     3.530    26.413     1.348     0.000     0.000     0.500     0.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     2.000
     3.000     1.000     1.000     0.000     1.500     4.350     2.000     1.000     0.500     3.530    26.413     1.348     0.000     0.000     0.500     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     2.000     2.000     0.000     2.000     4.350     1.000     0.500     0.250     0.388   134.107     0.573     0.000     1.000     0.500     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     4.000     3.000     0.100     1.000     3.650     4.000     4.300     0.435     3.530    40.938     6.457     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     3.000     1.000     3.000     0.333     1.500     2.800     3.000     1.250     0.375    41.682    92.347     2.670     0.000     0.000     0.500     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.999     0.001     0.000     1.000
     3.000     1.000     3.000     0.400     1.000     3.200     5.000     0.900     0.244     9.791    82.892     1.568     0.000     0.000     0.500     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000
     2.000     1.000     1.000     0.250     2.000     4.100     3.000     4.250     2.000     4.176    92.752     9.349     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.023     0.977     0.000     2.000
     1.000     1.000     2.000     0.000     2.000     4.100     5.000     0.600     0.600    10.073    94.039     0.908     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000
     2.000     2.000     2.000     0.000     1.000     4.100     1.000     3.000     0.667    25.134    94.039     0.968     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000
